Dimension1(nm),Dimension2(nm),OD,Dilution(%),Nano_stock_vol(mL),Diluted_vol(mL),AgConc(M),AgMass(mg),MeOH_vol(mL),H2O_vol(mL),Doping(%),AgSol(uL),Time(min),Temperature(C),Experiment,Wavelength(nm),Fluorescence,Fluorescence_norm
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),464.0,167.125,0.001181930693069307
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),465.0,167.0,0.001181046676096181
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),466.0,163.5,0.0011562942008486563
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),467.0,169.5,0.0011987270155586988
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),468.0,169.875,0.0012013790664780763
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),469.0,170.0,0.0012022630834512022
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),470.0,178.25,0.0012606082036775107
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),471.0,189.625,0.001341053748231966
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),472.0,199.875,0.0014135431400282886
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),473.0,220.25,0.0015576379066478076
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),474.0,251.625,0.0017795261669024045
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),475.0,283.0,0.0020014144271570016
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),476.0,318.75,0.0022542432814710044
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),477.0,358.0,0.0025318246110325317
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),478.0,401.0,0.0028359264497878358
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),479.0,466.5,0.0032991513437057992
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),480.0,532.5,0.003765912305516266
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),481.0,603.625,0.004268917963224894
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),482.0,678.75,0.004800212164073551
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),483.0,771.375,0.005455268741159831
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),484.0,869.75,0.006150990099009901
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),485.0,1011.625,0.007154349363507779
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),486.0,1150.5,0.008136492220650637
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),487.0,1290.5,0.009126591230551626
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),488.0,1456.75,0.010302333804809053
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),489.0,1661.5,0.01175035360678925
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),490.0,1872.25,0.013240806223479491
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),491.0,2134.0,0.015091937765205092
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),492.0,2489.75,0.017607850070721357
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),493.0,2890.375,0.020441124469589816
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),494.0,3369.0,0.023826025459688826
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),495.0,3979.125,0.028140912305516266
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),496.0,4755.0,0.033628005657708626
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),497.0,5725.25,0.04048974540311174
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),498.0,6972.875,0.04931311881188119
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),499.0,8569.625,0.06060555162659123
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),500.0,10575.5,0.07479137199434228
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),501.0,13098.125,0.09263171852899575
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),502.0,16373.125,0.11579296322489392
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),503.0,20671.625,0.14619253889674683
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),504.0,26156.625,0.18498320367751062
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),505.0,33259.0,0.23521216407355022
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),506.0,42408.75,0.29992043847241867
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),507.0,54061.125,0.38232761669024046
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),508.0,68625.125,0.48532620226308343
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),509.0,85786.25,0.6066920084865629
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),510.0,104139.25,0.7364869165487977
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),511.0,120987.625,0.8556409123055163
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),512.0,133626.25,0.9450229844413013
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),513.0,140598.25,0.9943299151343706
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),514.0,141400.0,1.0
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),515.0,136397.75,0.9646234087694484
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),516.0,125817.75,0.8898002121640736
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),517.0,110318.75,0.780189179632249
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),518.0,91665.5,0.6482708628005658
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),519.0,72542.75,0.5130321782178218
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),520.0,55677.125,0.39375618811881186
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),521.0,42211.875,0.2985281117397454
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),522.0,32215.75,0.2278341584158416
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),523.0,24815.75,0.17550035360678926
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),524.0,19372.625,0.13700583451202264
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),525.0,15473.375,0.1094298090523338
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),526.0,12547.875,0.08874027581329562
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),527.0,10335.25,0.07309229137199434
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),528.0,8637.375,0.06108468882602546
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),529.0,7272.125,0.05142945544554455
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),530.0,6204.875,0.04388171852899576
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),531.0,5388.0,0.03810466760961811
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),532.0,4781.625,0.03381630127298444
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),533.0,4341.125,0.030701025459688825
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),534.0,4049.875,0.028641265912305515
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),535.0,3820.625,0.027019978783592646
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),536.0,3647.875,0.025798267326732672
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),537.0,3554.25,0.025136138613861388
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),538.0,3538.0,0.02502121640735502
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),539.0,3539.375,0.025030940594059407
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),540.0,3531.875,0.024977899575671852
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),541.0,3520.5,0.024897454031117396
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),542.0,3508.625,0.024813472418670438
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),543.0,3503.625,0.024778111739745402
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),544.0,3517.5,0.024876237623762378
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),545.0,3518.875,0.02488596181046676
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),546.0,3480.875,0.02461722065063649
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),547.0,3452.0,0.024413012729844412
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),548.0,3404.25,0.024075318246110325
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),549.0,3354.375,0.023722595473833097
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),550.0,3245.5,0.022952616690240454
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),551.0,3159.375,0.022343528995756718
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),552.0,3025.0,0.021393210749646393
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),553.0,2909.25,0.020574611032531824
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),554.0,2775.75,0.01963048090523338
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),555.0,2663.875,0.018839285714285715
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),556.0,2547.25,0.018014497878359265
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),557.0,2464.125,0.01742662659123055
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),558.0,2426.375,0.017159653465346536
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),559.0,2389.875,0.016901520509193777
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),560.0,2391.625,0.01691389674681754
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),561.0,2385.0,0.01686704384724187
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),562.0,2417.0,0.017093352192362094
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),563.0,2456.625,0.017373585572843
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),564.0,2520.0,0.01782178217821782
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),565.0,2544.75,0.01799681753889675
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),566.0,2601.5,0.0183981612446959
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),567.0,2657.75,0.018795968882602546
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),568.0,2690.375,0.019026697312588402
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),569.0,2734.375,0.019337871287128713
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),570.0,2792.25,0.019747171145686
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),571.0,2829.75,0.020012376237623763
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),572.0,2869.25,0.02029172560113154
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),573.0,2929.625,0.020718705799151343
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),574.0,2955.375,0.020900813295615276
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),575.0,2997.625,0.021199611032531825
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),576.0,3032.875,0.021448903818953324
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),577.0,3063.625,0.021666371994342293
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),578.0,3066.25,0.021684936350777936
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),579.0,3079.125,0.0217759900990099
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),580.0,3086.75,0.02182991513437058
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),581.0,3074.625,0.02174416548797737
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),582.0,3107.375,0.021975777934936352
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),583.0,3089.625,0.021850247524752474
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),584.0,3092.375,0.021869695898161245
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),585.0,3117.5,0.022047383309759548
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),586.0,3137.375,0.022187942008486564
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),587.0,3160.125,0.022348833097595475
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),588.0,3194.5,0.022591937765205093
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),589.0,3240.25,0.022915487977369167
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),590.0,3256.625,0.023031294200848658
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),591.0,3344.125,0.023650106082036774
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),592.0,3413.0,0.024137199434229137
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),593.0,3451.75,0.02441124469589816
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),594.0,3502.0,0.024766619519094767
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),595.0,3539.875,0.02503447666195191
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),596.0,3599.875,0.025458804809052334
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),597.0,3656.875,0.02586191654879774
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),598.0,3708.375,0.0262261315417256
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),599.0,3702.375,0.026183698727015557
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),600.0,3736.375,0.0264241513437058
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),601.0,3759.625,0.026588578500707213
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),602.0,3829.375,0.027081859971711458
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),603.0,3854.0,0.027256011315417255
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),604.0,3881.125,0.027447842998585572
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),605.0,3892.75,0.02753005657708628
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),606.0,3928.5,0.027782885431400284
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),607.0,3985.25,0.028184229137199434
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),608.0,4003.5,0.02831329561527581
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),609.0,4071.25,0.028792432814710042
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),610.0,4071.125,0.028791548797736915
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),611.0,4108.75,0.029057637906647806
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),612.0,4122.375,0.02915399575671853
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),613.0,4150.625,0.02935378359264498
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),614.0,4173.875,0.029518210749646393
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),615.0,4152.375,0.029366159830268742
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),616.0,4205.75,0.029743635077793495
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),617.0,4199.25,0.029697666195190948
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),618.0,4197.0,0.029681753889674683
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),619.0,4201.375,0.02971269448373409
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),620.0,4205.75,0.029743635077793495
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),621.0,4218.5,0.029833804809052334
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),622.0,4206.0,0.029745403111739746
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),623.0,4213.5,0.029798444130127298
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),624.0,4169.25,0.029485502121640736
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),625.0,4163.5,0.029444837340876946
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),626.0,4159.75,0.029418316831683167
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),627.0,4179.125,0.02955533946251768
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),628.0,4165.0,0.029455445544554454
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),629.0,4135.375,0.02924593352192362
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),630.0,4123.5,0.029161951909476663
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),631.0,4115.5,0.029105374823196604
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),632.0,4092.0,0.02893917963224894
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),633.0,4076.375,0.028828677510608202
18.8,14.04,100x,0.175,0.25,1.75,0.0007,3.5,20,8,1.0,12.0,60,25,2_NPL-4_(6-1-22),634.0,4073.5,0.028808345120226307
